FIPS,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
16087,Washington County,Idaho,0.10837331007413868,0.020621247716001045,0.05478112007825874,0.02682075883122547,0.13759267335368514,0.7326974810467107,0.029347028613352897,0.002445585717779408,250300.0,1283.0,919.0,0.09904333145751265,0.36596523330283626
30001,Beaverhead County,Montana,0.17132515584154434,0.0054757015742642025,0.03470031545741325,0.03378242509551579,0.17977076211542328,0.6731375879640864,0.0184421256976462,0.008493084202863382,282000.0,1456.0,800.0,0.11045104510451043,0.2835931700074239
30003,Big Horn County,Montana,0.185748952128833,0.01977401129943503,0.0531021403413709,0.03154643723803221,0.1797926318111626,0.6824708751015984,0.11839609861826063,0.022758060146301815,148200.0,1373.0,686.0,0.16922594797869006,0.15017064846416384
30005,Blaine County,Montana,0.18661473087818697,0.04644700277888051,0.08968219416630388,0.023725212464589234,0.07046742209631728,0.6316935132781889,0.049629952111449716,0.01001306051371354,124900.0,1302.0,689.0,0.1449339207048458,0.1595744680851064
30007,Broadwater County,Montana,0.08723135271807839,0.003404255319148936,0.019044321329639888,0.0060050568900126425,0.12579013906447534,0.8216759002770083,0.02527700831024931,0.0,364800.0,1697.0,978.0,0.1518830183473583,0.42135922330097086
30009,Carbon County,Montana,0.266677033120821,0.02557200538358008,0.017811704834605598,0.012128751360597108,0.09360908101383922,0.7406700593723494,0.00551314673452078,0.004664970313825276,379300.0,1656.0,882.0,0.13074565883554645,0.2428454619787408
30011,Carter County,Montana,0.2503128911138924,0.011382113821138212,0.011686143572621035,0.02753441802252816,0.246558197747184,0.6160267111853088,0.01001669449081803,0.0,176600.0,1292.0,731.0,0.08627156789197299,0.08260869565217391
30013,Cascade County,Montana,0.11055340399510803,0.028696681867425865,0.06376579105674754,0.10461679576029352,0.07016918059518956,0.7015382852559512,0.010255235039674583,0.004354178005671889,243300.0,1505.0,902.0,0.0858235394727197,0.2581821671945484
30015,Chouteau County,Montana,0.22873082287308227,0.034595034595034595,0.04159132007233273,0.029288702928870293,0.15585774058577406,0.659132007233273,0.0081374321880651,0.00135623869801085,185100.0,1194.0,485.0,0.19090437489192458,0.08753315649867374
30017,Custer County,Montana,0.12582322357019063,0.028608795161026646,0.02240285487708168,0.0807625649913345,0.11074523396880416,0.6849722442505948,0.03350515463917526,0.009912767644726407,204200.0,1508.0,918.0,0.11920933472657613,0.2775330396475771
30019,Daniels County,Montana,0.3663716814159292,0.006218905472636816,0.030726256983240222,0.030973451327433628,0.04513274336283186,0.8044692737430168,0.008379888268156424,0.0,177800.0,1488.0,588.0,0.08066666666666666,0.08571428571428572
30021,Dawson County,Montana,0.15238748000913868,0.0038104310550130982,0.0509433962264151,0.03883938770847613,0.1142334932602239,0.7242587601078168,0.0005390835579514825,0.0008086253369272237,187400.0,1513.0,823.0,0.12117271545099895,0.2404692082111437
30023,Deer Lodge County,Montana,0.17181256810751908,0.03958232151529869,0.06776315789473684,0.05702869596803487,0.04649473301852525,0.6947368421052632,0.002631578947368421,0.0059210526315789476,209700.0,1418.0,661.0,0.1579613437643811,0.29022988505747127
30025,Fallon County,Montana,0.21088904203997244,0.03132161955691368,0.01921397379912664,0.043418332184700204,0.17643004824259131,0.6978165938864629,0.017467248908296942,0.0,237000.0,1603.0,772.0,0.06673960612691465,0.06069364161849711
30027,Fergus County,Montana,0.13448735019973368,0.07436967168510793,0.044807692307692305,0.04727030625832224,0.12350199733688415,0.6601923076923077,0.018846153846153846,0.000576923076923077,202700.0,1296.0,868.0,0.10814669403051669,0.22297679683078664
30029,Flathead County,Montana,0.14485357619533643,0.018117256257039766,0.03846860080793243,0.05379995289314595,0.08708879641987909,0.7404287550495777,0.02605123026074183,0.004797098788101359,467700.0,1872.0,1094.0,0.06585042399790808,0.2689008754089663
30031,Gallatin County,Montana,0.09998380974653259,0.010921410422145946,0.0287221922408107,0.09453309107917034,0.05430930579790966,0.6152185644900162,0.019048190122124282,0.0009993803841618198,604900.0,2178.0,1574.0,0.06015146358066714,0.29572489740792685
30033,Garfield County,Montana,0.4544235924932976,0.009237875288683603,0.012285012285012284,0.0,0.18900804289544235,0.7027027027027027,0.03194103194103194,0.0,178300.0,1458.0,802.0,0.06803455723542118,0.09917355371900827
30035,Glacier County,Montana,0.21922933034044145,0.012877442273534635,0.1300910397700048,0.028245417134306023,0.15600448933782268,0.6487781504551988,0.07474844274077623,0.014614278869190225,153400.0,1145.0,553.0,0.15558267236119583,0.2203274215552524
