FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
16057,Latah County,Idaho,0.4611,-0.0918545273383983,0.11103499813177233,0.8454917524494605,0.18903651009519828,0.05674070815922586,0.007352941176470588,0.10534124629080119,0.0,0.23563218390804597,0.00226940734557596
16059,Lemhi County,Idaho,0.4945,-0.24417910447761193,0.08895522388059701,0.9168503551310311,0.3376628049219256,0.026785714285714284,,0.2465753424657534,,0.0,0.007064868336544637
16061,Lewis County,Idaho,0.4724,-0.23868046571798188,0.052393272962483826,0.8051520964647849,0.25555555555555554,0.13922518159806296,0.45161290322580644,0.047619047619047616,1.0,0.4864864864864865,0.008635578583765112
16063,Lincoln County,Idaho,0.3876,-0.09749455337690632,0.07734204793028322,0.6264215314632298,0.2574813092541741,0.07448275862068965,0.5882352941176471,0.24451038575667655,,0.04481792717086835,0.04628132578819725
16065,Madison County,Idaho,0.5121,-0.13241508843324465,0.1003286899358272,0.8357721452835118,0.42007200386000076,0.019090695488721804,0.0,0.13977250819356082,0.0,0.3488372093023256,0.0073737151101047945
16067,Minidoka County,Idaho,0.4301,-0.0816483235218838,0.10353212183260814,0.5937870632241584,0.3185755035007347,0.07459768386223492,0.0,0.22784967645594822,,0.18301687763713081,0.05357756715611649
16069,Nez Perce County,Idaho,0.4529,-0.06718840579710145,0.1411014492753623,0.8604185794665349,0.2740625143434158,0.08771562990067956,0.0,0.13943990665110853,,0.06862745098039216,0.003731714598467509
16071,Oneida County,Idaho,0.4038,-0.055900621118012424,0.11956521739130435,0.9188207647938474,0.424635542510581,0.03634957463263728,0.35294117647058826,0.35784313725490197,1.0,0.0,0.006160164271047228
16073,Owyhee County,Idaho,0.3911,-0.1523069679849341,0.05296610169491525,0.6839791598827744,0.23611479930548462,0.21931713318978777,0.19230769230769232,0.29306930693069305,,0.17902350813743217,0.06909090909090909
16075,Payette County,Idaho,0.3891,-0.047674295960341735,0.10104419365045882,0.7624284077892325,0.15355770132183366,0.027281676276191817,0.0,0.14463894967177243,,0.03403755868544601,0.019171153532387013
16077,Power County,Idaho,0.3551,-0.10118168389955687,0.05760709010339734,0.600399102020454,0.2942768595041322,0.14019756838905775,1.0,0.24272930648769575,,0.0,0.06491967342638925
16079,Shoshone County,Idaho,0.4079,-0.2213417855256207,0.05247402711745026,0.8835787923416789,0.39249189547400287,0.029784320438206092,0.12598425196850394,0.1651031894934334,0.0,0.2857142857142857,0.0019620153822005964
16081,Teton County,Idaho,0.4147,0.13732779357095998,0.24950798163131424,0.7976200314023635,0.13944541669181099,0.1430472388556221,,0.4403093281778637,,0.07966457023060797,0.022464022464022463
16083,Twin Falls County,Idaho,0.4363,-0.07947039396083982,0.11040339702760085,0.7548767382030156,0.28026958355107856,0.05180545890357999,0.08097165991902834,0.17444686818323465,0.6534653465346535,0.12638322655794992,0.024598533370463194
16085,Valley County,Idaho,0.5103,-0.020645844362096346,0.20513499205929062,0.9391067897165458,0.39295842080064813,0.051541850220264314,0.0,0.14754098360655737,,0.0,0.0062278349623734975
16087,Washington County,Idaho,0.4367,-0.18855465884079237,0.08168256297383224,0.7843732744340144,0.26115850222489945,0.08662369057211926,0.0,0.21731551423590936,,0.2905759162303665,0.03695082921152167
