"FIPS","County","State","Met_Breast_Screen","Met_Colon_Screen","Currently_Smoke","BMI_Obese","Physically_Inactive","Binge_Drinking","Sleep_Debt","Cancer_Prevalence","Bad_Health","Poor_Physical","Poor_Mental","Depression","Diabetes_DX","High_BP","High_Cholesterol","BP_Medicine","CHD","Had_Stroke","Asthma","COPD","No_Teeth","Recent_Checkup","Recent_Dentist","Hearing_Disability","Vision_Disability","Cognitive_Disability","Mobility_Disability","Selfcare_Disability","Independent_Living_Disability","Socially_Isolated","Food_Insecure","Housing_Insecure","Lacked_Reliable_Transportation","Lacked_Social_Emotional_Support"
30037,"Golden Valley County","Montana",75.2,67.4,20.2,34.1,30.6,16.1,31.9,11.7,26,18.3,16.6,24.8,14.3,39.8,36.1,82.7,11.3,6.1,12,13,12.3,74.7,55.5,14.5,7.5,16.4,21.4,5.9,10.5,30.3,12.8,10.4,7.9,22.6
30039,"Granite County","Montana",74.6,66.6,16,32.5,25.4,17.4,31.1,11.6,19.3,14.6,14.6,22.1,11.9,38,35.5,82,9.5,4.7,10.7,8.9,16.1,75.4,62.5,12.4,5.5,13.1,15.6,4.4,7.7,29.3,11.2,8.9,7,21.8
30041,"Hill County","Montana",68.3,59.5,19.4,34.4,25.7,22.6,35.1,7.9,19.7,15,18.3,25,10.5,32.2,29.5,76.7,7.6,4.1,11.9,8.2,15.3,70.8,59.8,10.4,5.7,16.1,14.3,4.3,8.6,35.4,15.6,13.5,10.6,26.1
30043,"Jefferson County","Montana",72.8,66.6,13.7,30.5,20.5,20.4,30.2,10.1,15.5,12.7,14.9,23,9.9,32.5,32.7,77.7,7.5,3.7,10.9,7.2,8.8,73,67.3,9.6,4.3,12.3,12.4,3.3,6.5,29.1,8.7,7.9,5.8,21
30045,"Judith Basin County","Montana",72.6,63,14.9,33.4,25.2,17.9,30.2,11.3,18.1,14.3,14.9,21.9,11.6,37.3,34.3,82,9.5,4.7,10.8,8.8,12.1,75.6,62.6,12.5,5.3,12.9,15.5,4.2,7.8,28.7,10.3,8.6,6.7,20.7
30047,"Lake County","Montana",73.6,61.7,18,33.7,25.9,17.2,32.1,9.8,21.2,16,17.6,24.9,12,33.7,33.4,79.9,8.8,4.8,12.1,9.1,16.7,72.7,57.5,12,6.4,16.1,16,4.7,9.3,29,12.7,10.7,8.7,21.4
30049,"Lewis And Clark County","Montana",77,65.1,11.8,30.7,16.7,20.8,27.8,9.2,13.6,10.9,13.8,23.1,8.2,29.1,30.2,76.7,6.3,3.2,10.6,6.2,10,73.7,70.2,8.7,3.7,10.6,10.5,2.8,5.6,29.2,6.9,7.1,5.3,18.6
30051,"Liberty County","Montana",69.8,57.4,24.3,37,33,17.4,35.8,10.1,28.1,19.8,20.1,26.3,13.3,38.1,36.9,80,10.9,6.1,12.6,13.1,25.2,72.1,48.9,14.4,8.7,20.2,22,7.1,12.8,31,15.8,12.4,9.5,22.4
30053,"Lincoln County","Montana",71.6,65.3,19.1,30.7,27.2,17.2,34.2,11,22.5,16.5,16.4,22.1,12.5,38.9,36.3,82.2,9.7,5.2,11.1,10.5,16,75.1,56.6,13.1,6.6,15.6,17.9,5.3,9.7,27.7,12.2,10.2,7.8,20.3
30055,"McCone County","Montana",75.6,66.9,13.3,33,21.6,20.2,30.5,11.4,15.6,12.3,14.5,21.9,10,35.4,34.3,80.7,8.3,3.9,10.1,7.1,7.4,72.8,66,11,4.3,12,12.6,3.1,6.5,28.9,6.6,6.5,5.1,19.9
30057,"Madison County","Montana",73.4,68.8,14.4,26.9,21.8,19.5,28.6,11.1,16.1,13,14.4,21.5,10.4,35.1,34.2,79.5,8.2,4,10.5,7.7,7.6,72.8,65.8,10.8,4.5,12.1,13.2,3.4,6.7,26.6,6.9,6.7,4.9,18.8
30059,"Meagher County","Montana",75,65,12.9,33.6,22.2,18.2,29,12.2,16,13,13.7,21.6,11.2,37,36.2,82.5,8.8,4.2,10.4,7.7,11.8,75.7,67,11.2,4.4,11.3,13.4,3.5,6.5,28.2,7.5,7.1,5.4,19
30061,"Mineral County","Montana",74.3,65.8,16.5,35.3,23.7,18.3,32.5,11.3,18.9,14.6,15.5,22.9,11.7,39.4,36.2,82.4,9,4.5,10.9,8.8,12.1,74.7,61.7,11.6,5.3,13.6,15.2,4.2,7.8,27.4,8.2,7.4,5.8,19
30063,"Missoula County","Montana",77.8,66,13,28.2,17.3,26,27.1,8.1,14,11.6,17.6,26.6,7.3,25.5,28.8,73.5,5.6,2.9,10.8,5.4,7.7,71.2,66,7.8,4,14,9.4,2.8,6.4,34.4,9.1,8.6,6.7,21.6
30065,"Musselshell County","Montana",71.6,59.7,16.8,33.6,25.6,18,33.1,10.9,19.8,14.9,15.8,23.2,11.7,39.5,35.7,80.8,9.1,4.5,11.1,8.9,19.7,73.7,60.5,11.8,5.5,14.4,15.3,4.3,8.1,31.9,13.3,10.9,8.3,24.3
30067,"Park County","Montana",75.1,62.5,14.8,28.1,22.6,18.9,29.2,9.9,15.7,12.5,14.9,22,9.7,34.2,32.1,79,7.3,3.7,10.3,7.2,12,72.7,64.4,10,4.5,12.2,12.5,3.4,6.7,29,9.1,9,6.4,20.5
30069,"Petroleum County","Montana",72.6,68.5,14.9,32.5,24.8,17.5,30.6,12.1,18.3,14.4,14,21.4,11.8,38.9,36.2,82.5,9.7,4.8,10.4,8.8,15.7,75.8,64,12.9,5.3,12.4,15.9,4.2,7.6,28.1,8.1,7.8,5.9,19.9
30071,"Phillips County","Montana",71,66.3,15.5,39.2,24.2,19.5,34.2,10.8,17.7,13.7,16,23.3,10.7,36.9,35,79.9,8.3,4.2,11.2,7.9,16.4,73.7,62.2,11,5.1,13.9,14.2,3.9,7.7,31.4,11.3,9.5,7.6,23.4
30073,"Pondera County","Montana",70.3,62.9,17.2,33.9,24.9,19.8,32.6,9.9,19.4,14.8,17.2,23.9,11.4,33.9,32,77.9,8.5,4.5,11.5,8.5,19.1,73.2,59.3,11.5,5.8,15.1,15.5,4.4,8.6,31.8,14.2,11.8,9.3,23.5
30075,"Powder River County","Montana",76.4,66.1,18.2,32.8,27.1,17.9,32.1,11.3,20.6,15.7,16.4,22.8,12.1,38.1,36.9,81.6,9.5,4.8,11.2,9.7,13.4,73.3,59.5,12.3,5.8,15,16.6,4.5,8.7,28.3,8,6.8,5.6,19.5
30077,"Powell County","Montana",72.8,61.5,19.2,33,26.2,23.6,34.4,8.6,20.5,14.7,16.7,22.4,10.5,34.7,32.5,76.8,8,4.2,10.5,8.7,15.9,69.9,57.3,10.9,5.7,15.7,14.5,4.2,8.3,29.9,11.6,10.3,7.7,24.3
30079,"Prairie County","Montana",68.5,60.4,21,36.4,33,14.5,31.2,12.5,28.4,20.1,16.6,24,16.3,43.7,37.9,84.1,13.5,7.3,11.8,14.5,26.7,75.5,51.6,17.2,9.1,17.1,24.3,7.6,12,28.9,14,10.6,8.6,20.8
30081,"Ravalli County","Montana",74.3,66.4,12.7,32.9,20.1,18,30.8,10.7,15.3,12.5,14.4,22.9,10.1,32.3,33.4,79.7,7.7,3.8,10.7,7.3,12.4,74.4,66.4,10.3,4.3,11.8,12.6,3.3,6.5,27.7,8,7.5,5.6,18.9
30083,"Richland County","Montana",74.2,60.9,15.8,36.2,23.3,21.8,32.4,8.5,16.3,12.8,15.9,23.3,9.3,31.7,31.8,76.3,6.8,3.5,10.9,7.1,12.5,70.9,63.3,9.4,4.5,13,12.3,3.4,6.9,30.2,9.3,9.2,6.6,22.6
