"FIPS","Tract","County","State","Insurance.Coverage","Medicaid.Enrollment","Household.Income","Annual.Labor.Force.Participation.Rate","Annual.Unemployment.Rate","Below.Poverty","Received.Public.Assistance","Uninsured"
30087000100,"Census Tract 1","Rosebud County","Montana",0.926936190940088,0.295664880662445,60481,0.575847709696609,0.0309917355371901,0.0851063829787234,0.167800453514739,0.0730638090599123
30087000200,"Census Tract 2","Rosebud County","Montana",0.823369565217391,0.129528985507246,45735,0.540748898678414,0.00407331975560081,0.0456026058631922,0.105072463768116,0.176630434782609
30087000300,"Census Tract 3","Rosebud County","Montana",0.934974454249884,0.0910357640501626,86000,0.689262147570486,0.0652741514360313,0.0901213171577123,0.00451467268623025,0.0650255457501161
30087940400,"Census Tract 9404","Rosebud County","Montana",0.73955773955774,0.450684450684451,38398,0.543466666666667,0.213935230618253,0.362162162162162,0.299065420560748,0.26044226044226
30089000100,"Census Tract 1","Sanders County","Montana",0.814435336976321,0.230191256830601,59279,0.422824086247699,0.0391791044776119,0.0650477016478751,0.145303580695381,0.185564663023679
30089000201,"Census Tract 2.01","Sanders County","Montana",0.826344576116682,0.231996353691887,49313,0.439476553980371,0.0694789081885856,0.210963455149502,0.0307354555433589,0.173655423883318
30089000202,"Census Tract 2.02","Sanders County","Montana",0.935672514619883,0.231111111111111,60536,0.380315592404386,0.00210970464135021,0.0589641434262948,0.0570150922302963,0.064327485380117
30089940300,"Census Tract 9403","Sanders County","Montana",0.875897435897436,0.362564102564103,36591,0.463603818615752,0.093951093951094,0.157894736842105,0.203389830508475,0.124102564102564
30091090200,"Census Tract 902","Sheridan County","Montana",0.929391748192259,0.230965546575925,62500,0.584835630965005,0.0344514959202176,0.0589318600368324,0.0308641975308642,0.0706082518077414
30091090400,"Census Tract 904","Sheridan County","Montana",0.856803797468354,0.137658227848101,67969,0.644067796610169,0.0087719298245614,0.0857142857142857,0.0542168674698795,0.143196202531646
30093000101,"Census Tract 1.01","Silver Bow County","Montana",0.850358917725014,0.30756488128106,41935,0.639455782312925,0.0382978723404255,0.0161662817551963,0.1784140969163,0.149641082274986
30093000102,"Census Tract 1.02","Silver Bow County","Montana",0.910342115611482,0.590247738891074,20800,0.467114093959732,0.0210727969348659,0.302816901408451,0.453703703703704,0.0896578843885175
30093000200,"Census Tract 2","Silver Bow County","Montana",0.896324622902061,0.274909708944126,48365,0.589841755997958,0.102553007356123,0.0795847750865052,0.117269812185066,0.103675377097939
30093000300,"Census Tract 3","Silver Bow County","Montana",0.959736456808199,0.292093704245974,56989,0.588444444444444,0.047583081570997,0.0252951096121417,0.129084967320261,0.0402635431918009
30093000400,"Census Tract 4","Silver Bow County","Montana",0.868207523973445,0.311531841652324,56754,0.684317718940937,0.0633503401360544,0.210772833723653,0.169519602429597,0.131792476026555
30093000500,"Census Tract 5","Silver Bow County","Montana",0.955569461827284,0.208594075928244,70585,0.567608476286579,0.0217777777777778,0.059967585089141,0.100591715976331,0.0444305381727159
30093000600,"Census Tract 6","Silver Bow County","Montana",0.955015066724064,0.20469220835127,51347,0.506121385777546,0.0463201235203294,0.13886606409203,0.147914032869785,0.0449849332759363
30093000700,"Census Tract 7","Silver Bow County","Montana",0.981891348088531,0.0902558206381144,81944,0.593006488824802,0.00851063829787234,0.00494437577255871,0.095945945945946,0.0181086519114688
30093000800,"Census Tract 8","Silver Bow County","Montana",0.967784352399737,0.16370808678501,80913,0.597014925373134,0.0222602739726027,0.0464333781965007,0.040499784575614,0.032215647600263
30095966400,"Census Tract 9664","Stillwater County","Montana",0.959151610369207,0.10866719036397,90372,0.647184170471842,0.0456255879586077,0.0526785714285714,0.0531914893617021,0.0408483896307934
30095966500,"Census Tract 9665","Stillwater County","Montana",0.934975369458128,0.228571428571429,70417,0.513856812933025,0.00449438202247191,0.0506108202443281,0.105714285714286,0.0650246305418719
30095966600,"Census Tract 9666","Stillwater County","Montana",0.960753031269943,0.21282705807275,82269,0.654362416107383,0.0333333333333333,0.076158940397351,0.059449866903283,0.0392469687300574
30097967000,"Census Tract 9670","Sweet Grass County","Montana",0.907734056987788,0.123744911804613,69426,0.614525139664804,0.0219251336898396,0.0369230769230769,0.040748162992652,0.0922659430122117
30099000100,"Census Tract 1","Teton County","Montana",0.961223375204806,0.267067176406335,73542,0.620096352374398,0.0133185349611543,0.0635593220338983,0.0275761973875181,0.0387766247951938
30099000200,"Census Tract 2","Teton County","Montana",0.927415399705738,0.211378126532614,78203,0.64030612244898,0.0249003984063745,0.0103626943005181,0.0701107011070111,0.0725846002942619
30099000300,"Census Tract 3","Teton County","Montana",0.947322970639033,0.221502590673575,56765,0.548439181916039,0.00686947988223749,0.062015503875969,0.0663157894736842,0.0526770293609672
30101000100,"Census Tract 1","Toole County","Montana",0.86023166023166,0.29034749034749,71250,0.687568756875688,0.0976,0.0708333333333333,0.0494505494505494,0.13976833976834
30101000200,"Census Tract 2","Toole County","Montana",0.949983969220904,0.280218018595704,52049,0.611592021076402,0.0178461538461538,0.0340050377833753,0.107607950651131,0.0500160307790959
30101980000,"Census Tract 9800","Toole County","Montana",NA,NA,NA,0,NA,NA,NA,NA
30103963500,"Census Tract 9635","Treasure County","Montana",0.946123521681997,0.157687253613666,73036,0.689335394126739,0.0112107623318386,0.0645161290322581,0.0471204188481675,0.0538764783180026
30105100100,"Census Tract 1001","Valley County","Montana",0.927667269439421,0.139843279083785,69583,0.600144613159798,0.0253012048192771,0.0560538116591928,0.0222222222222222,0.0723327305605787
30105100500,"Census Tract 1005","Valley County","Montana",0.975492165528325,0.259943752511049,80227,0.640766902119072,0,0.0492063492063492,0.147388059701493,0.0245078344716754
30105940600,"Census Tract 9406","Valley County","Montana",0.90958904109589,0.327245053272451,57052,0.582893745290128,0.063994828700711,0.0981675392670157,0.0990916597853014,0.0904109589041096
30107000100,"Census Tract 1","Wheatland County","Montana",0.823179791976226,0.225854383358098,47054,0.517618469015796,0.00938967136150235,0.166083916083916,0.0658959537572254,0.176820208023774
30109000100,"Census Tract 1","Wibaux County","Montana",0.93716814159292,0.110619469026549,64792,0.588023952095808,0,0.139931740614334,0.0363247863247863,0.0628318584070796
30111000200,"Census Tract 2","Yellowstone County","Montana",0.918872758326217,0.489894676914318,41433,0.667124699416008,0.121009268795057,0.14756671899529,0.32741935483871,0.081127241673783
30111000300,"Census Tract 3","Yellowstone County","Montana",0.896087235407312,0.427196921103271,50765,0.566195372750643,0.0913734392735528,0.128378378378378,0.290346352247605,0.103912764592688
30111000401,"Census Tract 4.01","Yellowstone County","Montana",0.872241579558653,0.316298877274487,42121,0.793730122671513,0.120206067544362,0.265454545454545,0.139896373056995,0.127758420441347
30111000402,"Census Tract 4.02","Yellowstone County","Montana",0.857240671003081,0.300581992468333,41029,0.653543307086614,0.0315547905909352,0.212809917355372,0.134677944046844,0.142759328996919
30111000500,"Census Tract 5","Yellowstone County","Montana",0.950021920210434,0.166812801402893,72756,0.695652173913043,0.0396075581395349,0.0505130228887135,0.0815956482320943,0.049978079789566
30111000600,"Census Tract 6","Yellowstone County","Montana",0.942164179104478,0.100373134328358,105815,0.636027903159622,0.111612903225806,0.0293040293040293,0.0542725173210162,0.0578358208955224
30111000701,"Census Tract 7.01","Yellowstone County","Montana",0.867946194225722,0.115321522309711,89375,0.672953451043339,0.00178890876565295,0.00114678899082569,0.0460017196904557,0.132053805774278
30111000704,"Census Tract 7.04","Yellowstone County","Montana",0.954053263096283,0.142230026338894,67031,0.683499288762447,0.0208116545265349,0.0320855614973262,0.0271260997067449,0.0459467369037168
30111000705,"Census Tract 7.05","Yellowstone County","Montana",0.952207666181465,0.354196991751577,70543,0.647398843930636,0.0341386554621849,0.142710472279261,0.119798234552333,0.0477923338185346
30111000706,"Census Tract 7.06","Yellowstone County","Montana",0.932102984734564,0.341991341991342,47599,0.686416184971098,0.0227368421052632,0.204058624577227,0.109082397003745,0.0678970152654363
30111000707,"Census Tract 7.07","Yellowstone County","Montana",0.928284481475971,0.178544859395923,75599,0.676250492319811,0.0125218404193361,0.0754824063564132,0.0137247426610751,0.0717155185240291
30111000708,"Census Tract 7.08","Yellowstone County","Montana",0.926341463414634,0.443414634146341,58068,0.604424202992843,0.163616792249731,0.184126984126984,0.184110970996217,0.0736585365853658
30111000800,"Census Tract 8","Yellowstone County","Montana",0.875105130361648,0.271656854499579,66157,0.668745128604832,0.0462315462315462,0.136294027565084,0.112073945696129,0.124894869638352
30111000901,"Census Tract 9.01","Yellowstone County","Montana",0.922533606744133,0.198222829801777,70512,0.69913480323751,0.0546906187624751,0.033,0.0894811994288434,0.0774663932558669
30111000902,"Census Tract 9.02","Yellowstone County","Montana",0.902255639097744,0.345864661654135,52202,0.647332354380812,0.0253308128544423,0.103092783505155,0.202906071613908,0.0977443609022557
30111001000,"Census Tract 10","Yellowstone County","Montana",0.906564163217031,0.428740390301597,46683,0.694744976816074,0.0200222469410456,0.16138540899042,0.232675539238183,0.0934358367829686
30111001100,"Census Tract 11","Yellowstone County","Montana",0.895764802631579,0.247738486842105,50313,0.675655976676385,0.0445882775979863,0.0707831325301205,0.0890382192356153,0.104235197368421
30111001200,"Census Tract 12","Yellowstone County","Montana",0.94991652754591,0.196438508625487,101841,0.676348547717842,0.0189161554192229,0.121270452358037,0.0794979079497908,0.0500834724540902
30111001300,"Census Tract 13","Yellowstone County","Montana",0.974431818181818,0.0882260101010101,107271,0.609496124031008,0.0473767885532591,0,0,0.0255681818181818
30111001402,"Census Tract 14.02","Yellowstone County","Montana",0.956551915602443,0.151166018878401,110923,0.642056074766355,0.0136826783114993,0.0372983870967742,0.0263565891472868,0.0434480843975569
30111001403,"Census Tract 14.03","Yellowstone County","Montana",0.93402827359703,0.0908182207625303,94444,0.713626292466765,0.0349288486416559,0.0425252082419991,0.0554917719096824,0.0659717264029701
30111001404,"Census Tract 14.04","Yellowstone County","Montana",0.978887959866221,0.165551839464883,91543,0.684067004285158,0.0187927107061503,0.0260461144321093,0.0734224724372508,0.0211120401337793
30111001501,"Census Tract 15.01","Yellowstone County","Montana",0.910594722331627,0.224103977944072,76875,0.657735749934331,0.0670926517571885,0.108149276466108,0.125593667546174,0.0894052776683734
30111001502,"Census Tract 15.02","Yellowstone County","Montana",0.955908999396014,0.225689551036843,70125,0.680540540540541,0.0258141382049245,0.120585701981051,0.0658595641646489,0.0440910006039863
30111001702,"Census Tract 17.02","Yellowstone County","Montana",0.95706106870229,0.259303435114504,70750,0.708410636982066,0.0135312090790048,0.110769230769231,0.0936497754971135,0.0429389312977099
30111001703,"Census Tract 17.03","Yellowstone County","Montana",0.918676774638181,0.173845623707788,65387,0.721868365180467,0.0197058823529412,0.0790229885057471,0.0897575099529497,0.0813232253618195
30111001704,"Census Tract 17.04","Yellowstone County","Montana",0.902136457615438,0.316103836434643,49333,0.65740995325818,0.0217482225010456,0.116896918172157,0.101156069364162,0.0978635423845624
30111001801,"Census Tract 18.01","Yellowstone County","Montana",0.9711748809677,0.0885342941706344,152029,0.563962170233947,0,0.0170336518487744,0.0087260034904014,0.0288251190322996
