FIPS,County,State,measure,value
16055,Kootenai County,Idaho,No Vehicle,0.018573094721528988
16057,Latah County,Idaho,No Vehicle,0.025618270027215714
16059,Lemhi County,Idaho,No Vehicle,0.022482583913869536
16061,Lewis County,Idaho,No Vehicle,0.009969325153374233
16063,Lincoln County,Idaho,No Vehicle,0.003579952267303103
16065,Madison County,Idaho,No Vehicle,0.011233008435683377
16067,Minidoka County,Idaho,No Vehicle,0.007212515237708249
16069,Nez Perce County,Idaho,No Vehicle,0.014386239249413605
16071,Oneida County,Idaho,No Vehicle,0.0
16073,Owyhee County,Idaho,No Vehicle,0.012129380053908356
16075,Payette County,Idaho,No Vehicle,0.01590288886797779
16077,Power County,Idaho,No Vehicle,0.026390465380249715
16079,Shoshone County,Idaho,No Vehicle,0.017212659633536923
16081,Teton County,Idaho,No Vehicle,0.007783265978146984
16083,Twin Falls County,Idaho,No Vehicle,0.013880799844690352
16085,Valley County,Idaho,No Vehicle,0.0599535571036521
16087,Washington County,Idaho,No Vehicle,0.0319094184251158
30001,Beaverhead County,Montana,No Vehicle,0.006347766946270687
30003,Big Horn County,Montana,No Vehicle,0.023100172711571675
30005,Blaine County,Montana,No Vehicle,0.046825396825396826
30007,Broadwater County,Montana,No Vehicle,0.0022307202039515616
30009,Carbon County,Montana,No Vehicle,0.0199374511336982
30011,Carter County,Montana,No Vehicle,0.009316770186335404
30013,Cascade County,Montana,No Vehicle,0.029617963828490145
30015,Chouteau County,Montana,No Vehicle,0.03841438496117695
30017,Custer County,Montana,No Vehicle,0.02145568575672553
30019,Daniels County,Montana,No Vehicle,0.01706036745406824
30021,Dawson County,Montana,No Vehicle,0.002305209774089442
30023,Deer Lodge County,Montana,No Vehicle,0.03779979144942649
30025,Fallon County,Montana,No Vehicle,0.030942334739803096
30027,Fergus County,Montana,No Vehicle,0.052976515565264885
30029,Flathead County,Montana,No Vehicle,0.017822481030527616
30031,Gallatin County,Montana,No Vehicle,0.015344682800213756
30033,Garfield County,Montana,No Vehicle,0.005802707930367505
30035,Glacier County,Montana,No Vehicle,0.013683266038582324
30037,Golden Valley County,Montana,No Vehicle,0.0027624309392265192
30039,Granite County,Montana,No Vehicle,0.039740470397404706
30041,Hill County,Montana,No Vehicle,0.031141387460030586
30043,Jefferson County,Montana,No Vehicle,0.030185900975519972
30045,Judith Basin County,Montana,No Vehicle,0.009307135470527405
30047,Lake County,Montana,No Vehicle,0.01910377358490566
30049,Lewis And Clark County,Montana,No Vehicle,0.022569688122841984
30051,Liberty County,Montana,No Vehicle,0.0811554332874828
30053,Lincoln County,Montana,No Vehicle,0.01748872796830168
30055,McCone County,Montana,No Vehicle,0.0
30057,Madison County,Montana,No Vehicle,0.011536444677503933
30059,Meagher County,Montana,No Vehicle,0.01195219123505976
30061,Mineral County,Montana,No Vehicle,0.011752136752136752
30063,Missoula County,Montana,No Vehicle,0.025893262739077993
30065,Musselshell County,Montana,No Vehicle,0.03511530398322851
30067,Park County,Montana,No Vehicle,0.02282793867120954
30069,Petroleum County,Montana,No Vehicle,0.0
30071,Phillips County,Montana,No Vehicle,0.0
30073,Pondera County,Montana,No Vehicle,0.043775100401606426
