FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
30047940307,Census Tract 9403.07,Lake County,Montana,0.483,-0.10068493150684932,0.09041095890410959,0.7469040247678018,0.16428088843847644,0.1309255079006772,,0.7866666666666666,,0.0,0.019742253907321084
30047940400,Census Tract 9404,Lake County,Montana,0.5106,-0.2084972462627852,0.05192761605035405,0.5392289026691831,0.03233684210526311,0.16666666666666666,0.0,0.09090909090909091,,0.0,0.0017441860465116279
30047940500,Census Tract 9405,Lake County,Montana,0.5135,-0.32052631578947366,0.02526315789473684,0.4751370399373532,0.17528059022054787,0.13411279229711143,,0.12871287128712872,,0.8589743589743589,0.005150391429748661
30047940600,Census Tract 9406,Lake County,Montana,0.4441,-0.15542857142857142,0.10571428571428572,0.5725988122056113,0.10422851265748811,0.18451400329489293,0.0,0.10204081632653061,,0.34615384615384615,0.006638636866563399
30047940700,Census Tract 9407,Lake County,Montana,0.4803,-0.12666666666666668,0.1,0.5767441860465117,0.0703587724791983,0.11647254575707154,,0.06951871657754011,,0.7,0.015803336259877086
30049000100,Census Tract 1,Lewis And Clark County,Montana,0.4303,-0.1965909090909091,0.06704545454545455,0.9040948275862069,0.31658978301725615,0.2798507462686567,,0.0,,,0.0005546311702717693
30049000200,Census Tract 2,Lewis And Clark County,Montana,0.3091,0.06910946196660482,0.15445269016697588,0.9052110715942477,0.23354219479919003,0.15667206915180984,0.0,0.0,0.0,0.0,0.0009927200529450694
30049000300,Census Tract 3,Lewis And Clark County,Montana,0.4862,0.09083191850594227,0.24108658743633277,0.9316698656429943,0.2692015970920332,0.0,0.0,0.25,,,0.0027559055118110236
30049000400,Census Tract 4,Lewis And Clark County,Montana,0.4139,0.08283789139912802,0.23028141101862862,0.9011636693365573,0.006081510393028955,0.08923705722070845,,0.0,,0.0,0.0
30049000501,Census Tract 5.01,Lewis And Clark County,Montana,0.382,0.14963942307692307,0.1875,0.8656481689507975,0.03906460684979007,0.01644479248238058,0.4444444444444444,0.0,0.0,0.0,0.0
30049000503,Census Tract 5.03,Lewis And Clark County,Montana,0.4014,0.11806883365200765,0.20076481835564053,0.7724564619615032,0.16909090909090907,0.0,1.0,0.00684931506849315,,0.2360248447204969,0.0029917726252804786
30049000504,Census Tract 5.04,Lewis And Clark County,Montana,0.4711,-0.13672496025437203,0.11208267090620032,0.8925938925938925,-0.2558510277457431,0.0,0.0,0.0,,0.0,0.0
30049000600,Census Tract 6,Lewis And Clark County,Montana,0.4364,0.11016949152542373,0.2175141242937853,0.9451065366558324,0.08243817137147136,0.0,,,,,0.0
30049000701,Census Tract 7.01,Lewis And Clark County,Montana,0.4834,0.1495766698024459,0.28410159924741296,0.8759873617693523,0.49123752341364535,0.08767123287671233,,0.0,,0.0,0.0
30049000702,Census Tract 7.02,Lewis And Clark County,Montana,0.5123,0.007309273640931932,0.21105527638190955,0.9658762290341237,0.2610104158123514,0.0,0.0,0.21428571428571427,,0.0,0.0
30049000800,Census Tract 8,Lewis And Clark County,Montana,0.4775,-0.24579624134520278,0.08852621167161226,0.8498834498834499,-0.05104925258719817,0.0,0.0,0.0,,0.0,0.0
30049000900,Census Tract 9,Lewis And Clark County,Montana,0.4777,-0.10709046454767726,0.15794621026894864,0.8454837230628153,0.08586157517899762,0.0,0.0,0.15873015873015872,0.0,0.0,0.0021216407355021216
30049001000,Census Tract 10,Lewis And Clark County,Montana,0.389,0.07411019015114578,0.181862506094588,0.9199388067312596,0.06649882667412621,0.0,0.0,0.0,0.0,0.0,0.0
30049001101,Census Tract 11.01,Lewis And Clark County,Montana,0.3634,-0.08544303797468354,0.11550632911392406,0.8796087283671934,0.19308421474240112,0.08153846153846153,,0.0,,,0.0
30049001102,Census Tract 11.02,Lewis And Clark County,Montana,0.4173,-0.02844873859366613,0.14868491680085882,0.8669201520912547,0.007554639175257782,0.010428736964078795,0.0,0.0,1.0,0.0,0.0
30049001201,Census Tract 12.01,Lewis And Clark County,Montana,0.352,-0.10223752151462995,0.06884681583476764,0.9220391934109627,-0.03138343705122071,0.0,0.0,0.0,,0.0,0.003991403131716303
30049001202,Census Tract 12.02,Lewis And Clark County,Montana,0.4599,0.045982575024201354,0.15634075508228462,0.9037302185380558,0.21856911322065298,0.007686932215234102,,0.0,,0.22580645161290322,0.00275049115913556
30051050100,Census Tract 501,Liberty County,Montana,0.5628,-0.21037868162692847,0.09396914446002805,0.9713998996487707,0.21123542100837267,0.018656716417910446,,0.0,,0.0,0.0027144408251900108
30053000100,Census Tract 1,Lincoln County,Montana,0.4345,-0.28163530175210905,0.04931862426995458,0.9468690702087287,0.4704310679611651,0.0,,0.0,,0.0,0.0
30053000200,Census Tract 2,Lincoln County,Montana,0.4906,-0.462882096069869,0.03056768558951965,0.8701848998459168,0.48195850622406644,0.13193116634799235,0.0,0.0,,0.0,0.0
30053000300,Census Tract 3,Lincoln County,Montana,0.4484,-0.23042754025541365,0.05274847307051638,0.9019505851755527,0.5628157683024939,0.02737226277372263,,0.7206477732793523,,0.0,0.022653721682847898
30053000401,Census Tract 4.01,Lincoln County,Montana,0.3972,-0.19148936170212766,0.04905437352245863,0.9338942307692307,0.10463667225301876,0.23076923076923078,0.0,0.18253968253968253,,0.0,0.0
