FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks,Nitrogen Dioxide,Drinking Water Noncompliance
49035114800,Census Tract 1148.00,Salt Lake County,Utah,7.89761530054645,0.331356560415122,0.198773655785919,3797.685152775314,1696055.9512287308,378.0175631676352,1.064199250875056,1.012741557484102,5.607876903291984,73.95849,1.579988207317381,6.014901993114178,0.067049808429119
49035115107,Census Tract 1151.07,Salt Lake County,Utah,7.30159904371585,0.005073280721533,0.075324989675653,3548.712983490592,166044.88254706483,338.1954522282896,0.41098550287057,0.344852157308475,0.078389292450076,68.91418,0.0,3.901432397335541,0.103494924150204
49035115108,Census Tract 1151.08,Salt Lake County,Utah,7.64890431693989,0.017338709677419,0.119536445277883,3388.7331660081654,351715.58410468727,743.2288243993751,0.28499831308737,0.338706634600409,0.065024302531024,69.35684,0.455521158378934,5.30478753828846,0.0
49035115109,Census Tract 1151.09,Salt Lake County,Utah,7.77590683060109,0.0,0.155488140489188,3234.811028,625767.087007376,1169.223801998514,0.257821075162834,1.191297665457375,0.353036704184688,69.21837,0.129021684787245,5.217560291290283,0.0
49035115210,Census Tract 1152.10,Salt Lake County,Utah,8.0530956284153,0.0,0.16137042591382,4555.215691,810577.8437256275,639.8544467629044,7.692608328346843,1.011466518678976,0.994192990103099,70.19828,0.563544205382778,8.013270378112793,0.002900652646846
49035115211,Census Tract 1152.11,Salt Lake County,Utah,7.93008278688525,0.008345606283751,0.151995288738179,4956.1459203121,613560.0630589963,365.8235336077144,3.126446915342324,1.539338015986403,1.089725800359723,69.95926,0.222352137699277,8.290206341287176,13.789847860088155
49035980000,Census Tract 9800.00,Salt Lake County,Utah,8.45411666666667,0.0,0.193880468807673,4849.85013,2214382.709199462,38097.76224708436,1.435279282038907,2.391768125692447,14.230300590560487,73.8088,1.484720635277448,7.829288005828857,0.0
49035980100,Census Tract 9801.00,Salt Lake County,Utah,8.5910150273224,0.0,0.175349648933899,7418.381754,1437029.1301897375,1393.4879923575995,0.580822357235714,0.503025495937283,1.999119472193207,71.23804,4.711234762221199,9.022171020507812,24.0
49037942000,Census Tract 9420.00,San Juan County,Utah,4.88847786885246,0.035190615835777,0.01131812216409,0.000763918450626,2058.45559418242,1679.1450662279963,0.0,0.086263788430349,0.0,61.1284,0.008604716076988,3.127073752996155,36.4681261765693
49037942100,Census Tract 9421.00,San Juan County,Utah,4.65685683060109,0.031400966183575,0.010781651407578,0.0,239.5063287358104,540.0507583287883,0.0,0.0,0.0,58.71673,0.00312381384073,1.517762064957792,0.982485523677454
