FIPS,County,State,measure,value
16039,Elmore County,Idaho,Under 18,0.24547269847827582
16041,Franklin County,Idaho,Under 18,0.30941216445803604
16043,Fremont County,Idaho,Under 18,0.24078534413546457
16045,Gem County,Idaho,Under 18,0.22363251737685103
16047,Gooding County,Idaho,Under 18,0.27121982210927575
16049,Idaho County,Idaho,Under 18,0.19772196261682243
16051,Jefferson County,Idaho,Under 18,0.32859713346156233
16053,Jerome County,Idaho,Under 18,0.29990317895756013
16055,Kootenai County,Idaho,Under 18,0.2256323986136742
16057,Latah County,Idaho,Under 18,0.18913555748480715
16059,Lemhi County,Idaho,Under 18,0.1830761694832231
16061,Lewis County,Idaho,Under 18,0.21978624280624828
16063,Lincoln County,Idaho,Under 18,0.260235026535254
16065,Madison County,Idaho,Under 18,0.20532681324424204
16067,Minidoka County,Idaho,Under 18,0.2922634796095247
16069,Nez Perce County,Idaho,Under 18,0.21406879016879723
16071,Oneida County,Idaho,Under 18,0.26703695791497545
16073,Owyhee County,Idaho,Under 18,0.2497557798762618
16075,Payette County,Idaho,Under 18,0.2565483008781978
16077,Power County,Idaho,Under 18,0.3036916936891993
16079,Shoshone County,Idaho,Under 18,0.20765832106038293
16081,Teton County,Idaho,Under 18,0.23163374927691927
16083,Twin Falls County,Idaho,Under 18,0.2671160755962267
16085,Valley County,Idaho,Under 18,0.1838332234673698
16087,Washington County,Idaho,Under 18,0.22473771397018222
30001,Beaverhead County,Montana,Under 18,0.17382690302398332
