GEOID,Tract,County,State,FacID,cat,measure,value,RE,Sex,def,fmt,source,lbl
16001001001,Census Tract 10.01,Ada County,ID,903,Travel time to Screening Facility,Minutes,2.62285563012,NA,NA,Minutes to Mammography,float64,src-TBD,3
16001001002,Census Tract 10.02,Ada County,ID,188,Travel time to Screening Facility,Minutes,7.3189634325,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001001002,Census Tract 10.02,Ada County,ID,738,Travel time to Screening Facility,Minutes,7.15382299127,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,7
16001001002,Census Tract 10.02,Ada County,ID,919,Travel time to Screening Facility,Minutes,8.16358297014999,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001001003,Census Tract 10.03,Ada County,ID,191,Travel time to Screening Facility,Minutes,6.20203439677,NA,NA,Minutes to Gastroenterology,float64,src-TBD,6
16001001003,Census Tract 10.03,Ada County,ID,738,Travel time to Screening Facility,Minutes,4.57944921313,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,5
16001001003,Census Tract 10.03,Ada County,ID,903,Travel time to Screening Facility,Minutes,6.11881722623,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001001100,Census Tract 11,Ada County,ID,191,Travel time to Screening Facility,Minutes,6.34302376967,NA,NA,Minutes to Gastroenterology,float64,src-TBD,6
16001001100,Census Tract 11,Ada County,ID,689,Travel time to Screening Facility,Minutes,5.28875502573,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,5
16001001100,Census Tract 11,Ada County,ID,903,Travel time to Screening Facility,Minutes,6.25980659913,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001001201,Census Tract 12.01,Ada County,ID,191,Travel time to Screening Facility,Minutes,6.54394312446,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001001201,Census Tract 12.01,Ada County,ID,689,Travel time to Screening Facility,Minutes,5.48967438052,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,5
16001001201,Census Tract 12.01,Ada County,ID,903,Travel time to Screening Facility,Minutes,6.46072595393,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001001203,Census Tract 12.03,Ada County,ID,191,Travel time to Screening Facility,Minutes,4.08613958932,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001001203,Census Tract 12.03,Ada County,ID,689,Travel time to Screening Facility,Minutes,3.03187084538,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,3
16001001203,Census Tract 12.03,Ada County,ID,903,Travel time to Screening Facility,Minutes,4.00292241879,NA,NA,Minutes to Mammography,float64,src-TBD,4
16001001204,Census Tract 12.04,Ada County,ID,191,Travel time to Screening Facility,Minutes,3.58627419444,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001001204,Census Tract 12.04,Ada County,ID,689,Travel time to Screening Facility,Minutes,3.74413639036,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,4
16001001204,Census Tract 12.04,Ada County,ID,903,Travel time to Screening Facility,Minutes,3.67035367699,NA,NA,Minutes to Mammography,float64,src-TBD,4
16001001401,Census Tract 14.01,Ada County,ID,191,Travel time to Screening Facility,Minutes,3.59965043363,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001001401,Census Tract 14.01,Ada County,ID,689,Travel time to Screening Facility,Minutes,3.30100129039,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,3
16001001401,Census Tract 14.01,Ada County,ID,903,Travel time to Screening Facility,Minutes,3.5164332631,NA,NA,Minutes to Mammography,float64,src-TBD,4
16001001402,Census Tract 14.02,Ada County,ID,191,Travel time to Screening Facility,Minutes,4.85483127803,NA,NA,Minutes to Gastroenterology,float64,src-TBD,5
16001001402,Census Tract 14.02,Ada County,ID,689,Travel time to Screening Facility,Minutes,4.55618213478,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,5
16001001402,Census Tract 14.02,Ada County,ID,903,Travel time to Screening Facility,Minutes,4.77161410749,NA,NA,Minutes to Mammography,float64,src-TBD,5
16001001500,Census Tract 15,Ada County,ID,185,Travel time to Screening Facility,Minutes,6.9163251721,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001001500,Census Tract 15,Ada County,ID,738,Travel time to Screening Facility,Minutes,6.58845412058,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,7
16001001500,Census Tract 15,Ada County,ID,874,Travel time to Screening Facility,Minutes,7.58405171575,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001001600,Census Tract 16,Ada County,ID,185,Travel time to Screening Facility,Minutes,9.54412290478999,NA,NA,Minutes to Gastroenterology,float64,src-TBD,10
16001001600,Census Tract 16,Ada County,ID,688,Travel time to Screening Facility,Minutes,10.2118494484,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,10
16001001600,Census Tract 16,Ada County,ID,874,Travel time to Screening Facility,Minutes,10.2118494484,NA,NA,Minutes to Mammography,float64,src-TBD,10
16001001701,Census Tract 17.01,Ada County,ID,191,Travel time to Screening Facility,Minutes,8.46709217479,NA,NA,Minutes to Gastroenterology,float64,src-TBD,8
16001001701,Census Tract 17.01,Ada County,ID,738,Travel time to Screening Facility,Minutes,7.56450839232,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001001701,Census Tract 17.01,Ada County,ID,903,Travel time to Screening Facility,Minutes,8.38387500424999,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001001702,Census Tract 17.02,Ada County,ID,185,Travel time to Screening Facility,Minutes,9.19582377657,NA,NA,Minutes to Gastroenterology,float64,src-TBD,9
16001001702,Census Tract 17.02,Ada County,ID,738,Travel time to Screening Facility,Minutes,9.39628196346,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,9
16001001702,Census Tract 17.02,Ada County,ID,874,Travel time to Screening Facility,Minutes,9.86355032022,NA,NA,Minutes to Mammography,float64,src-TBD,10
16001001800,Census Tract 18,Ada County,ID,191,Travel time to Screening Facility,Minutes,8.11445044211,NA,NA,Minutes to Gastroenterology,float64,src-TBD,8
16001001800,Census Tract 18,Ada County,ID,689,Travel time to Screening Facility,Minutes,7.81580129886,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001001800,Census Tract 18,Ada County,ID,903,Travel time to Screening Facility,Minutes,8.03123327157,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001001900,Census Tract 19,Ada County,ID,191,Travel time to Screening Facility,Minutes,6.55077917066,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
