"FIPS","Tract","County","State","measure","value"
16043970200,"Census Tract 9702","Fremont County","Idaho","Total",3680
16043970301,"Census Tract 9703.01","Fremont County","Idaho","Total",5237
16043970302,"Census Tract 9703.02","Fremont County","Idaho","Total",3516
16045960100,"Census Tract 9601","Gem County","Idaho","Total",5899
16045960200,"Census Tract 9602","Gem County","Idaho","Total",6840
16045960301,"Census Tract 9603.01","Gem County","Idaho","Total",4195
16045960302,"Census Tract 9603.02","Gem County","Idaho","Total",2920
16047960101,"Census Tract 9601.01","Gooding County","Idaho","Total",3988
16047960102,"Census Tract 9601.02","Gooding County","Idaho","Total",3825
16047960201,"Census Tract 9602.01","Gooding County","Idaho","Total",5051
16047960202,"Census Tract 9602.02","Gooding County","Idaho","Total",2876
16049940000,"Census Tract 9400","Idaho County","Idaho","Total",4717
16049960100,"Census Tract 9601","Idaho County","Idaho","Total",2267
16049960201,"Census Tract 9602.01","Idaho County","Idaho","Total",1558
16049960202,"Census Tract 9602.02","Idaho County","Idaho","Total",4864
16049960300,"Census Tract 9603","Idaho County","Idaho","Total",2593
16049960400,"Census Tract 9604","Idaho County","Idaho","Total",1121
16051960100,"Census Tract 9601","Jefferson County","Idaho","Total",3818
16051960200,"Census Tract 9602","Jefferson County","Idaho","Total",4617
16051960301,"Census Tract 9603.01","Jefferson County","Idaho","Total",3696
16051960302,"Census Tract 9603.02","Jefferson County","Idaho","Total",6163
16051960401,"Census Tract 9604.01","Jefferson County","Idaho","Total",6795
16051960402,"Census Tract 9604.02","Jefferson County","Idaho","Total",7145
16053970100,"Census Tract 9701","Jerome County","Idaho","Total",3149
16053970200,"Census Tract 9702","Jerome County","Idaho","Total",4247
16053970300,"Census Tract 9703","Jerome County","Idaho","Total",6252
16053970400,"Census Tract 9704","Jerome County","Idaho","Total",3371
16053970501,"Census Tract 9705.01","Jerome County","Idaho","Total",4828
16053970502,"Census Tract 9705.02","Jerome County","Idaho","Total",2941
16055000101,"Census Tract 1.01","Kootenai County","Idaho","Total",2940
16055000102,"Census Tract 1.02","Kootenai County","Idaho","Total",4602
16055000201,"Census Tract 2.01","Kootenai County","Idaho","Total",4054
16055000202,"Census Tract 2.02","Kootenai County","Idaho","Total",3316
16055000203,"Census Tract 2.03","Kootenai County","Idaho","Total",3412
16055000301,"Census Tract 3.01","Kootenai County","Idaho","Total",8365
16055000303,"Census Tract 3.03","Kootenai County","Idaho","Total",5579
16055000304,"Census Tract 3.04","Kootenai County","Idaho","Total",3741
16055000401,"Census Tract 4.01","Kootenai County","Idaho","Total",6670
16055000402,"Census Tract 4.02","Kootenai County","Idaho","Total",10637
16055000501,"Census Tract 5.01","Kootenai County","Idaho","Total",6776
16055000502,"Census Tract 5.02","Kootenai County","Idaho","Total",6879
16055000503,"Census Tract 5.03","Kootenai County","Idaho","Total",4589
16055000601,"Census Tract 6.01","Kootenai County","Idaho","Total",5259
16055000602,"Census Tract 6.02","Kootenai County","Idaho","Total",7847
16055000701,"Census Tract 7.01","Kootenai County","Idaho","Total",6162
16055000702,"Census Tract 7.02","Kootenai County","Idaho","Total",4509
16055000703,"Census Tract 7.03","Kootenai County","Idaho","Total",7781
16055000704,"Census Tract 7.04","Kootenai County","Idaho","Total",4767
16055000800,"Census Tract 8","Kootenai County","Idaho","Total",6064
16055000901,"Census Tract 9.01","Kootenai County","Idaho","Total",3074
16055000902,"Census Tract 9.02","Kootenai County","Idaho","Total",3029
16055001002,"Census Tract 10.02","Kootenai County","Idaho","Total",5185
16055001003,"Census Tract 10.03","Kootenai County","Idaho","Total",2096
16055001004,"Census Tract 10.04","Kootenai County","Idaho","Total",4860
16055001100,"Census Tract 11","Kootenai County","Idaho","Total",2326
16055001201,"Census Tract 12.01","Kootenai County","Idaho","Total",3351
16055001202,"Census Tract 12.02","Kootenai County","Idaho","Total",3301
16055001300,"Census Tract 13","Kootenai County","Idaho","Total",4695
16055001400,"Census Tract 14","Kootenai County","Idaho","Total",2744
16055001500,"Census Tract 15","Kootenai County","Idaho","Total",3345
16055001600,"Census Tract 16","Kootenai County","Idaho","Total",2853
16055001700,"Census Tract 17","Kootenai County","Idaho","Total",4770
16055001801,"Census Tract 18.01","Kootenai County","Idaho","Total",3422
16055001802,"Census Tract 18.02","Kootenai County","Idaho","Total",5701
16055001901,"Census Tract 19.01","Kootenai County","Idaho","Total",1875
16055001902,"Census Tract 19.02","Kootenai County","Idaho","Total",1105
16055002000,"Census Tract 20","Kootenai County","Idaho","Total",3628
16055940000,"Census Tract 9400","Kootenai County","Idaho","Total",2427
16057005101,"Census Tract 51.01","Latah County","Idaho","Total",2667
16057005102,"Census Tract 51.02","Latah County","Idaho","Total",4521
16057005200,"Census Tract 52","Latah County","Idaho","Total",6469
16057005301,"Census Tract 53.01","Latah County","Idaho","Total",2199
16057005302,"Census Tract 53.02","Latah County","Idaho","Total",5393
16057005400,"Census Tract 54","Latah County","Idaho","Total",7456
16057005500,"Census Tract 55","Latah County","Idaho","Total",4294
16057005600,"Census Tract 56","Latah County","Idaho","Total",4059
