"FIPS","County","State","Insurance.Coverage","Medicaid.Enrollment","Household.Income","Annual.Labor.Force.Participation.Rate","Annual.Unemployment.Rate","Below.Poverty","Received.Public.Assistance","Monthly.Unemployment.Rate..Sep.","Uninsured"
30081,"Ravalli County","Montana",0.911802141853933,0.212495610955056,71323,0.553909271453956,0.0331650705288484,0.0441085271317829,0.0888758719846637,0.027,0.0881978581460674
30083,"Richland County","Montana",0.938981252210824,0.153696498054475,69578,0.679397098821396,0.037698081734779,0.062992125984252,0.0604444444444444,0.026,0.0610187477891758
30085,"Roosevelt County","Montana",0.704327843738031,0.244542320949828,53125,0.530298985584624,0.0843191542914674,0.253529411764706,0.134203480589023,0.031,0.295672156261969
30087,"Rosebud County","Montana",0.849613923274911,0.27331780855497,56430,0.591583754689284,0.0896057347670251,0.158997955010225,0.141414141414141,0.031,0.150386076725089
30089,"Sanders County","Montana",0.866286784794317,0.250956209507455,54035,0.417390517553384,0.0422718404508996,0.100717360114778,0.105996699064735,0.036,0.133713215205683
30091,"Sheridan County","Montana",0.904011065006916,0.198340248962656,63654,0.606173677069199,0.0246222719641858,0.0687645687645688,0.0387755102040816,0.02,0.0959889349930844
30093,"Silver Bow County","Montana",0.933625907122164,0.248917190144279,57504,0.581312113419974,0.0433379161934365,0.0904154564970324,0.143089854694729,0.029,0.0663740928778361
30095,"Stillwater County","Montana",0.954246910831571,0.17210286095959,81503,0.618294825023645,0.0334353146853147,0.0604078491727588,0.0692685448436288,0.023,0.0457530891684292
30097,"Sweet Grass County","Montana",0.907734056987788,0.123744911804613,69426,0.614525139664804,0.0219251336898396,0.0369230769230769,0.040748162992652,0.023,0.0922659430122117
30099,"Teton County","Montana",0.94487552537989,0.231652117685095,67766,0.599303135888502,0.0150478796169631,0.0433950223356733,0.0566884176182708,0.026,0.0551244746201099
30101,"Toole County","Montana",0.923652016311735,0.283189850475759,53693,0.544003868471954,0.04,0.0425531914893617,0.0959956116291827,0.022,0.0763479836882646
30103,"Treasure County","Montana",0.946123521681997,0.157687253613666,73036,0.689335394126739,0.0112107623318386,0.0645161290322581,0.0471204188481675,0.028,0.0538764783180026
30105,"Valley County","Montana",0.935692183505987,0.262881743575945,64515,0.605914603754777,0.0329037565122018,0.071195652173913,0.099053414469236,0.02,0.0643078164940132
30107,"Wheatland County","Montana",0.823179791976226,0.225854383358098,47054,0.517618469015796,0.00938967136150235,0.166083916083916,0.0658959537572254,0.032,0.176820208023774
30109,"Wibaux County","Montana",0.93716814159292,0.110619469026549,64792,0.588023952095808,0,0.139931740614334,0.0363247863247863,0.026,0.0628318584070796
30111,"Yellowstone County","Montana",0.931030933452813,0.212974007180872,74400,0.661188692739112,0.0342142117068394,0.0734779566130161,0.0978028640720637,0.023,0.0689690665471873
32001,"Churchill County","Nevada",0.912180252914281,0.200148288503522,73268,0.598924953483564,0.064981014842941,0.0385554780181438,0.108347039473684,0.044,0.087819747085719
32003,"Clark County","Nevada",0.879301074084032,0.207187151539726,73845,0.634660938461041,0.0742335015568151,0.0987241993831577,0.146194496434885,0.055,0.120698925915968
32005,"Douglas County","Nevada",0.940949338939878,0.12861359317511,88018,0.519024005931968,0.031653198803518,0.0547647291419533,0.0640405764125901,0.045,0.0590506610601221
