FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Monthly Unemployment Rate (Jun),Uninsured
30051,Liberty County,Montana,0.943031536113937,0.40132248219735506,48047.0,0.5455764075067024,0.002457002457002457,0.1920374707259953,0.05750350631136045,0.025,0.056968463886063025
30053,Lincoln County,Montana,0.8667802726543705,0.26313151563753007,44593.0,0.4739132992176931,0.06925654710189896,0.09840810419681621,0.13870749831119117,0.042,0.13321972734562948
30055,McCone County,Montana,0.9420625724217845,0.14020857473928158,79022.0,0.6335361730899256,0.02454642475987193,0.012345679012345678,0.01918158567774936,0.018000000000000002,0.05793742757821552
30057,Madison County,Montana,0.9114463380930447,0.1545370796867803,61226.0,0.5476159201366084,0.02254737347085632,0.04988558352402746,0.04411351503231245,0.024,0.08855366190695535
30059,Meagher County,Montana,0.9370119729307652,0.2040603852160333,55753.0,0.6110783736004715,0.015429122468659595,0.14492753623188406,0.06594724220623502,0.027000000000000003,0.06298802706923479
30061,Mineral County,Montana,0.924515988688275,0.28322819229932567,56098.0,0.5220472440944882,0.03619909502262444,0.08545727136431784,0.15832531280076997,0.037000000000000005,0.075484011311725
30063,Missoula County,Montana,0.935036359929319,0.18703275791762947,66840.0,0.6997386926561538,0.04540342580310283,0.05348151345130197,0.09967093525750308,0.026000000000000002,0.064963640070681
30065,Musselshell County,Montana,0.9417535254445125,0.22235847128550992,54875.0,0.5038816108685105,0.04910929224843524,0.09435364041604755,0.12447356106691623,0.027999999999999997,0.05824647455548748
30067,Park County,Montana,0.9041613390677671,0.15674764616994072,67602.0,0.6324636901559978,0.032745056347012545,0.05927051671732523,0.07039106145251396,0.023,0.09583866093223292
30069,Petroleum County,Montana,0.9543269230769231,0.19230769230769232,57981.0,0.6927536231884058,0.008368200836820083,0.030303030303030304,0.015873015873015872,0.033,0.04567307692307687
30071,Phillips County,Montana,0.9061976549413735,0.21009810959559702,61250.0,0.6044753553069248,0.03401700850425213,0.025597269624573378,0.07375643224699828,0.042,0.0938023450586265
30073,Pondera County,Montana,0.9260825439783491,0.3746617050067659,59861.0,0.5986005089058524,0.06447042153737159,0.12885538039753255,0.1114723641430562,0.03,0.0739174560216509
30075,Powder River County,Montana,0.9226774379688402,0.16849394114252741,60313.0,0.6134846461949266,0.009793253536452665,0.09302325581395349,0.029490616621983913,0.018000000000000002,0.07732256203115984
30077,Powell County,Montana,0.9340721262208865,0.2289631855747558,60994.0,0.4380450880368603,0.04770848985725019,0.012442698100851343,0.09965187119234116,0.026000000000000002,0.06592787377911347
30079,Prairie County,Montana,0.942063492063492,0.32063492063492066,44107.0,0.56513222331048,0.029462738301559793,0.18374558303886926,0.2,0.018000000000000002,0.05793650793650795
30081,Ravalli County,Montana,0.902188276927901,0.2175958071091003,67424.0,0.5634835956255001,0.04402366863905326,0.05073368716827974,0.09396720963548576,0.027999999999999997,0.09781172307209896
