"FIPS","Tract","County","State","PM25","Lead.Paint","Diesel.PM","Toxics.Release.to.Air","Traffic.Proximity","Water.Discharge","Superfund.Proximity","RMP.Proximity","Hazardous.Waste.Proximity","Ozone","Underground.Storage.Tanks","Nitrogen.Dioxide","Drinking.Water.Noncompliance"
32003005441,"Census Tract 0054.41","Clark County","Nevada",8.13017021857923,0.008187967248131,0.45700197778295,889.5828688,581955.25919512,565440.334800471,0,1.62414806710075,1.87959019033478,67.96263,0.384686374323745,7.48185729980469,0
32003005442,"Census Tract 0054.42","Clark County","Nevada",8.07390218579235,0,0.396889943961969,1417.541118,734913.811076943,350093.949936658,0,1.60445136100722,2.52706673536168,67.98197,0.614875801852693,10.1302175521851,0
32003005501,"Census Tract 0055.01","Clark County","Nevada",7.13244207650273,0.030387844862055,0.243393395176003,23.2937531338842,186172.116673064,2074.01895575473,0,0.076885649665102,0.669074929720184,66.7042,0.537630856115903,7.41350307627804,0
32003005502,"Census Tract 0055.02","Clark County","Nevada",6.85657213114754,0.166132478632479,0.176046638576231,19.9787562413192,143491.077984757,46.5238060734783,0,0.029182865987604,0.589721343339905,66.0757,0.139317092923785,5.7890712348255,0
32003005503,"Census Tract 0055.03","Clark County","Nevada",7.03404262295082,0.482988165680473,0.184347518615758,20.7226930655672,217223.916433648,29.5244330948292,0,0,1.3117360975334,66.37425,1.05352240198121,8.00414296630031,0
32003005504,"Census Tract 0055.04","Clark County","Nevada",7.00493032786885,0.013333333333333,0.195901458988014,20.1210524771368,167205.30670371,26.6576390892024,0,0,0.709344507610484,66.37154,0,6.7244498881003,0
32003005607,"Census Tract 0056.07","Clark County","Nevada",5.70558743169399,0.01727115716753,0.095645223349294,0,203249.697398539,84.5393961927752,0,0,0,62.95343,1.50542744589664,7.65611407439668,3
32003005612,"Census Tract 0056.12","Clark County","Nevada",5.84015519125683,0.06924882629108,0.057364391869472,0.296736485815603,0,3.46336522671792,0,0,0,64.26858,1.7045279620555,7.77198062112145,0
32003005613,"Census Tract 0056.13","Clark County","Nevada",6.0290912568306,0.047128927410618,0.050901843231077,1.71994714589756,10770.4276831332,2922.19712413325,0,0.011707915474204,0.004459880635192,65.29493,0.139120930526574,5.73623204010289,0
32003005614,"Census Tract 0056.14","Clark County","Nevada",5.71987786885246,0.004269854824936,0.099854384704853,0.000371332073171,189827.184189105,89.015937208281,0,0,0,62.98393,4.36116774785006,8.35314460498531,3
32003005615,"Census Tract 0056.15","Clark County","Nevada",5.70329043715847,0.012782694198623,0.078567652897789,0.00071955,128493.206795545,111.625952442448,0,0,0,63.00424,0,7.64193773269653,3
32003005702,"Census Tract 0057.02","Clark County","Nevada",5.59421448087432,0.034029038112523,0.069573552459094,0.04078889458505,228182.876416687,76.7286632764639,0,0,0,63.17542,0.553831046838178,10.4049358951688,0
32003005703,"Census Tract 0057.03","Clark County","Nevada",5.64642213114754,0.035977859778598,0.059337603173472,1.66553591590093,114338.977439675,583.45853599823,0,0.243452174777708,0.067390554722804,66.99076,0.024628295326737,2.68027308939411,0.508223614572385
32003005704,"Census Tract 0057.04","Clark County","Nevada",5.61585355191257,0.030966767371601,0.068631622058295,0.03493675,191777.326515185,62.2091111492831,0,0,0,63.22426,1.52949619612964,10.8636665344238,0
32003005705,"Census Tract 0057.05","Clark County","Nevada",5.62380546448087,0,0.046120342952545,0.018516741790962,149017.354701044,63.4894356921383,0,0,0,63.64167,0.036968325798717,6.60225575552576,0
32003005711,"Census Tract 0057.11","Clark County","Nevada",6.63291284153005,0.003843689942345,0.437487335838319,25.1900744682809,901560.577567666,42662.721683274,0,0.435183101499343,2.61356778116477,68.38984,0.010554250305797,5.52930826898668,0
32003005713,"Census Tract 0057.13","Clark County","Nevada",7.09484180327869,0.005829903978052,0.190694531216282,27.5662178243385,188886.843524289,0,0,0,0.660294647507797,68.61769,0,6.98996035413044,0
32003005715,"Census Tract 0057.15","Clark County","Nevada",7.38413661202186,0.005571030640669,0.407825628551444,35.4217726485663,535809.585368097,240.46466420454,0,0.135487796212024,1.39243845158189,68.70054,0,7.95896332472064,0
32003005716,"Census Tract 0057.16","Clark County","Nevada",7.22887568306011,0,0.35670326165016,32.1982893379923,308313.546490077,0,0,0,0.928539549798925,68.61927,0,7.85596831148656,0
32003005717,"Census Tract 0057.17","Clark County","Nevada",7.1813393442623,0,0.403778666471861,22.0905210568741,452307.82808035,0,0,0,1.20938970685211,68.93224,0.365897766315615,6.15419027201625,0
32003005718,"Census Tract 0057.18","Clark County","Nevada",7.09975273224044,0,0.218807267013256,25.0704066411751,245079.260884434,0,0,0,0.674998868105228,68.70611,0,8.47654654902797,0
32003005719,"Census Tract 0057.19","Clark County","Nevada",7.01847513661202,0,0.190166072326864,22.72249848,270593.248095636,0,0,0,0.663184017719043,68.79311,0.367518887869442,5.26308441162109,0
32003005720,"Census Tract 0057.20","Clark County","Nevada",6.88160300546448,0,0.321672799871947,16.26888697,590377.208235107,0,0,0,1.18754051408409,69.17067,0.237791269418629,6.61172914505005,0.045004018215912
32003005721,"Census Tract 0057.21","Clark County","Nevada",7.21336038251366,0,0.404701341506394,26.2364710388846,394439.149358105,0,0,0,1.03215567432569,68.83896,0,8.10058457110805,0
32003005722,"Census Tract 0057.22","Clark County","Nevada",7.36170573770492,0.006535947712418,0.408440604667449,29.6022156498035,722492.169080086,83.2702085564582,0,0.027300566124546,1.52788751400937,68.81238,0,8.92116226497288,0
32003005803,"Census Tract 0058.03","Clark County","Nevada",6.74492240437158,0,0.317201741218115,16.060427119188,1431694.80934956,0,0,0,3.71444546786291,70.61771,1.53341383315349,11.2625976261035,0
32003005804,"Census Tract 0058.04","Clark County","Nevada",6.83249207650273,0,0.317215258601652,17.050928977113,1635586.4065777,0,0,0,4.40685335466289,70.82575,0.652736242418776,11.3614085378423,0
32003005805,"Census Tract 0058.05","Clark County","Nevada",6.95637213114754,0,0.332599839613984,18.1034235109973,1955017.52027427,56.2337025651976,0,0,5.19104388261256,70.85521,3.53932680999766,11.6607279742143,0
32003005806,"Census Tract 0058.06","Clark County","Nevada",6.74697923497268,0.009963293130572,0.317216192031986,15.1204216105341,1377229.5210469,0.000326318997268,0,0,4.26292769950239,70.64628,1.26411566298134,11.6157547616398,0
