"FIPS","Tract","County","State","Gini.Coefficient","Economic.Segregation","Racial.Economic.Segregation","Racial.Segregation","Gender.Pay.Gap","Uninsured.Children","Uninsured..Black.","Uninsured..Hispanic.","Living.Below.Poverty..Black.","Living.Below.Poverty..Hispanic.","Lack_English_Prof"
49035112616,"Census Tract 1126.16","Salt Lake County","Utah",0.3816,0.506051437216339,0.527231467473525,0.881751824817518,0.217166028384771,0.0284900284900285,0,0,NA,0,0.00559938915754645
49035112617,"Census Tract 1126.17","Salt Lake County","Utah",0.3152,0.613659531090724,0.560652395514781,0.855410150015959,0.168459523445166,0,NA,0.204301075268817,NA,0.107692307692308,0.00311634349030471
49035112618,"Census Tract 1126.18","Salt Lake County","Utah",0.4585,0.247706422018349,0.29434250764526,0.867973479388873,0.136549759658181,0,0,0,NA,0,0
49035112619,"Census Tract 1126.19","Salt Lake County","Utah",0.4288,0.284963196635121,0.354363827549947,0.85223245924876,0.128842766897628,0.0779376498800959,0,0,0,NA,0
49035112620,"Census Tract 1126.20","Salt Lake County","Utah",0.2936,-0.0227272727272727,0.101778656126482,0.722222222222222,-0.199932977119133,0.0275761973875181,NA,0.423014586709887,NA,0,0.00194401244167963
49035112621,"Census Tract 1126.21","Salt Lake County","Utah",0.3618,0.116322008862629,0.153988183161004,0.599180607715944,0.315205220011889,0.0405405405405405,NA,0.150971599402093,NA,0.171428571428571,0.037122969837587
49035112700,"Census Tract 1127","Salt Lake County","Utah",0.4876,0.0351624933404369,0.132125732551945,0.650607128867998,0.436671899529042,0,NA,0.346001583531275,NA,0,0.0437674318815705
49035112804,"Census Tract 1128.04","Salt Lake County","Utah",0.3692,0.205463182897862,0.265439429928741,0.729700469144713,0.168977762175445,0.06,0,0.325431034482759,0,0,0.0179087232813403
49035112805,"Census Tract 1128.05","Salt Lake County","Utah",0.3534,0.377922077922078,0.393506493506494,0.780156366344006,0.395192713957091,0,0,0.0248306997742664,0,0.0760869565217391,0.0122219995992787
49035112812,"Census Tract 1128.12","Salt Lake County","Utah",0.309,0.0467532467532468,0.140779220779221,0.812568706485892,0.165216442115768,0.0361990950226244,0,0.035778175313059,NA,0.0986842105263158,0.0058
49035112813,"Census Tract 1128.13","Salt Lake County","Utah",0.4185,0.352754908169728,0.411652944901837,0.839481151195784,0.379611365682437,0.0299309286262471,0,0,0,0,0.0105730598435187
49035112814,"Census Tract 1128.14","Salt Lake County","Utah",0.4012,0.5923682616596,0.60145366444579,0.888684640522876,0.366512751967813,0.0531045751633987,0,0,0,0.209302325581395,0.00295296350980806
49035112815,"Census Tract 1128.15","Salt Lake County","Utah",0.3935,0.581749049429658,0.590621039290241,0.902513795217658,0.374773540856031,0.0387770320656227,0,0,0,0,0.0106112054329372
49035112816,"Census Tract 1128.16","Salt Lake County","Utah",0.4571,0.381274131274131,0.436293436293436,0.683588548601864,0.57910804827537,0.0704945992040932,0.0334928229665072,0,0,0,0.00443183832653785
49035112818,"Census Tract 1128.18","Salt Lake County","Utah",NA,NA,NA,0.369310793237971,0,NA,NA,NA,NA,NA,0.00715214564369311
49035112821,"Census Tract 1128.21","Salt Lake County","Utah",0.4248,0.503857280617165,0.502892960462874,0.884326355340848,0.447832034645122,0,0,0.019672131147541,0,0,0.0022202486678508
49035112822,"Census Tract 1128.22","Salt Lake County","Utah",0.4314,0.2,0.279661016949153,0.700341542333273,0.389112769302305,0.170460293373799,0,0.422828427853553,NA,0.0381679389312977,0.0510342161221728
49035112823,"Census Tract 1128.23","Salt Lake County","Utah",0.3936,0.0997375328083989,0.213035870516185,0.811638012469299,0.249609733131799,0,0,0,NA,0,0
49035112824,"Census Tract 1128.24","Salt Lake County","Utah",0.3949,0.0666370501999111,0.155930697467792,0.621316986355547,0.149772866973509,0,0,0.106382978723404,0,0.575757575757576,0
49035112825,"Census Tract 1128.25","Salt Lake County","Utah",0.4269,0.131244323342416,0.209355131698456,0.604217075699965,0.199211531353949,0.113534952900347,NA,0.130913091309131,NA,0,0.0218390804597701
49035112826,"Census Tract 1128.26","Salt Lake County","Utah",0.4233,0.387034659820282,0.449935815147625,0.932420724311211,0.379798045886766,0.0680232558139535,NA,0,NA,0,0
49035112827,"Census Tract 1128.27","Salt Lake County","Utah",0.3401,0.329703239858426,0.328341954805336,0.879304347826087,0.229466934035176,0.0257839721254355,NA,0.069377990430622,NA,0,0.00193461017604953
49035112828,"Census Tract 1128.28","Salt Lake County","Utah",0.378,0.597560975609756,0.622713414634146,0.878167641325536,0.527546247818499,0.00597014925373134,0,0,NA,0,0.000208899101733863
49035112829,"Census Tract 1128.29","Salt Lake County","Utah",0.4129,0.201086956521739,0.223731884057971,0.777329297006391,0.377760340768972,0,NA,0.14945652173913,NA,0,0.00790378006872852
49035112830,"Census Tract 1128.30","Salt Lake County","Utah",0.4386,0.250812567713976,0.301733477789816,0.724080615001039,0.217859725234996,0.0766488413547237,0.277372262773723,0.24187725631769,1,0,0.00172972972972973
49035112831,"Census Tract 1128.31","Salt Lake County","Utah",0.4046,0.398299078667612,0.416725726435152,0.795160107553165,0.45325464586012,0.104006163328197,NA,0.262693156732892,NA,0,0.0354161396407792
49035112904,"Census Tract 1129.04","Salt Lake County","Utah",0.3728,0.09105098855359,0.1420395421436,0.537342075803614,0.184992508039127,0.115830115830116,0,0.110114598903837,0,0.0435835351089588,0.0426716141001855
49035112905,"Census Tract 1129.05","Salt Lake County","Utah",0.4001,0.290242386575513,0.277812305779988,0.73374554993442,0.146636536924307,0.0373333333333333,0,0.017578125,NA,0,0.0881031451455362
49035112907,"Census Tract 1129.07","Salt Lake County","Utah",0.3455,0.157414448669202,0.198479087452471,0.660210035005834,0.215386443766589,0.029616724738676,0,0.112689393939394,0,0.157894736842105,0.014475271411339
